Syllabus Quiz [Total Pts: 5 Score] |1911615,Academic Dishonesty Quiz [Total Pts: 5 Score] |1870591,Week 2 Synch Session [Total Pts: 0 Score] |1934655,Lab 1 Submission Portal [Total Pts: 20 Score] |1870975,Lab 2 Submission Portal [Total Pts: 20 Score] |1880697,Week 4 Synch Session [Total Pts: 10 Score] |1934656,Lab 3 Submission Portal [Total Pts: 20 Score] |1880699,Week 5 Synch Session [Total Pts: 10 Score] |1934657,Lab 4 Submission Portal [Total Pts: 20 Score] |1880700,Week 6 - Synch Session [Total Pts: 10 Score] |1934717,Lab 5 Submission Portal [Total Pts: 20 Score] |1880703,Week 8 - Synch Session [Total Pts: 10 Score] |1934718,Lab 6 Submission Portal [Total Pts: 20 Score] |1880698,Week 9 - Synch Session [Total Pts: 10 Score] |1934720,Lab 7 Submission Portal [Total Pts: 20 Score] |1880702,Week 10 - Synch Session [Total Pts: 10 Score] |1934721,Lab 8 Submission Portal [Total Pts: 20 Score] |1905297,Week 12 - Synch Session [Total Pts: 10 Score] |1934722,Lab 9 Submission Portal [Total Pts: 20 Score] |1880704,Week 13 - Synch Session [Total Pts: 10 Score] |1934723,Lab 10 Submission Portal [Total Pts: 20 Score] |1880701,Week 15 - Synch Session [Total Pts: 10 Score] |1934725,Survey 1 [Total Pts: 0 Complete/Incomplete] |1902274,Survey 2 [Total Pts: 0 Complete/Incomplete] |1902273,All Extra Credit [Total Pts: 0 Score] |1931834,Midterm Attendance [Total Pts: 12 Score] |1934662,Exam 1 [Total Pts: 25 Score] |1943578,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1945103,Exam 2 Fall 2020 [Total Pts: 25 Score] |1996668,Week 10.1_Origins and Migrations of Modern Humans pt. 2 [Total Pts: 2 Score] |2001405,Discussion Grade Total [Total Pts: 0 Text] |2001543,Midterm Percentage [Total Pts: up to 182 Percentage] |2273453,Midterm Grade [Total Pts: 0 Text] |2004473,Week 11.1_Museum Assignment & Intro to Human Variation [Total Pts: 2 Score] |2005571,Submit your Scavenger Hunt Packet HERE [Total Pts: 20 Score] |2006891,Submit your Museum Exhibit Design HERE [Total Pts: 40 Score] |2006893,Exam 3_FA2020 [Total Pts: 25 Score] |2006913,Submit your Peer Evaluation Rubrics HERE [Total Pts: 0 Score] |2009269,Week 13.1_Agriculture and Diet 1 [Total Pts: 1 Score] |2011226,Week 13.2_Agriculture and Diet 2 pt. 1 [Total Pts: 1 Score] |2011228,Week 13.2_Agriculture and Diet 2 pt. 2 [Total Pts: 2 Score] |2011229,Week 13_Pre-Lab Session Survey [Total Pts: 0 Complete/Incomplete] |2011877,Week 14.1_Forensic Anthropology [Total Pts: 2 Score] |2014015,Week 15.1_Are we still evolving? [Total Pts: 2 Score] |2018467,Optional Post-Lab 9 Survey for Extra Credit [Total Pts: 0 Complete/Incomplete] |2019144,Survey 3_FA2020 [Total Pts: 0 Complete/Incomplete] |2019403,Exam 4_FA2020 [Total Pts: 25 Score] |2021351,Total attendance grade (entire semester) [Total Pts: 30 Text] |2023789,Final Points [Total Pts: 0 Score] |2023926,Final Percentage [Total Pts: 0 Text] |2023928,Final Letter Grade [Total Pts: 0 Text] |2027259,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292064,Total Exam Percentage [Total Pts: up to 100 Percentage] |2292068,Total Attendance Percentage [Total Pts: up to 30 Percentage] |2292083,Total Extra Credit [Total Pts: 0 Score] |2292090
4.5,5.0,0.0,19.75,15,10.0,20,10.0,0.0,10.0,19.0,10.0,18.5,8.0,12.0,10.0,19.75,10.0,20.0,10.0,19.5,0.0,,,0.0,12.0,23.0,,20.0,,11.0,82.00549000000001,C,,19.0,35.5,16.0,Needs Grading,,,,Complete,2.0,,,,0.0,15.0,390.5,75.09,C,84.57141999999999,59,50,0
4.0,4.5,10.0,18.5,19.75,10.0,19.5,10.0,19.5,10.0,18.25,10.0,16.5,10.0,19.5,10.0,19.5,10.0,19.75,10.0,17.5,0.0,Complete,,3.0,12.0,23.0,,22.0,,28.0,94.91758,A,2.0,20.0,35.0,17.0,Needs Grading,,,,,2.0,2.0,Complete,Complete,20.0,21.0,463.75,89.18,A,92.35714,82,70,3
5.0,5.0,0.0,20,20,10.0,19,10.0,18.0,10.0,20.0,0.0,19,10.0,19.0,10.0,18.0,0.0,19.0,10.0,20.0,0.0,,Complete,1.0,12.0,17.0,,15.0,2.0,14.0,88.46153000000001,B,2.0,19.0,38.0,14.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,,,,11.0,27.0,418.0,80.38,B,88.28571,57,90,1
5.0,4.5,10.0,18,20,10.0,20,10.0,20.0,10.0,19.0,10.0,18.5,10.0,15.0,10.0,18.5,10.0,19.0,0.0,18.0,10.0,Complete,Complete,11.0,12.0,18.0,,24.0,2.0,10.0,94.23076,A,2.0,19.0,39.0,15.0,0,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,17.0,30.0,478.5,92.0,A,92.57141999999999,74,100,11
4.5,4.5,10.0,19,20,10.0,20,10.0,20.0,10.0,18.75,10.0,17,10.0,19.0,10.0,19.0,10.0,20.0,10.0,18.5,0.0,Complete,,5.0,12.0,25.0,,23.0,2.0,30.0,97.80219,A,2.0,19.0,34.5,20.0,,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,21.0,30.0,487.75,93.79,A,92.78571,89,100,5
4.5,5.0,10.0,20,20,10.0,19,10.0,19.5,10.0,18.0,10.0,18.5,10.0,0.0,10.0,0.0,10.0,18.0,10.0,15.0,10.0,Complete,,3.0,12.0,24.0,,23.0,0.0,10.0,97.25274,A,0.0,19.0,40.0,18.0,0,1.0,1.0,2.0,Complete,2.0,0.0,,,15.0,21.0,450.5,87.0,A,84.85714,80,70,3
4.0,3.5,10.0,16.5,14.5,10.0,15.5,10.0,19.25,10.0,16.0,5.0,15.75,10.0,14.0,10.0,18.25,10.0,15.5,10.0,18.0,10.0,Complete,,3.0,12.0,25.0,,24.0,2.0,6.0,90.24725,B,2.0,20.0,34.0,22.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,18.0,30.0,437.75,84.2,B,86.35714,89,100,3
4.5,4.0,10.0,18.75,19.75,10.0,19.75,10.0,19.5,10.0,19.75,10.0,19.75,10.0,19.25,10.0,19.75,10.0,20.0,10.0,15.75,10.0,Complete,Complete,4.0,12.0,25.0,,25.0,2.0,30.0,97.93956,A,2.0,19.75,40.0,21.0,2,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,19.0,30.0,504.25,96.97,A,97.64285,90,100,4
4.0,4.5,10.0,18,20,10.0,18,10.0,20.0,10.0,17.0,10.0,20,10.0,18.0,10.0,18.0,10.0,19.0,10.0,18.0,10.0,Complete,Complete,6.0,12.0,24.0,,22.0,2.0,27.0,94.78021,A,2.0,17.0,38.0,21.0,Needs Grading,1.0,1.0,2.0,Complete,2.0,2.0,Complete,Complete,18.0,30.0,487.5,93.8,A,94.57141999999999,85,100,6
,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,,,,0.0,6.5934,F,,,,,,,,,,,,,,,12.0,,,,0.0,0,40,0
