Total [Total Pts: up to 588 Score] |2138654,Week 1.2_Anthropology and Science [Total Pts: 1 Score] |2175184,Week 2.2 Lecture_Inheritance and Genetics [Total Pts: 1 Score] |2177170,Week 3.1_Population Genetics and Adaptations pt. 1_FA21 [Total Pts: 1 Score] |2184208,Week 3.1_Population Genetics and Adaptations pt. 2_FA21 [Total Pts: 1 Score] |2184209,Week 3.2_Human Population Genetics_FA21 [Total Pts: 1 Score] |2184210,Week 4.1_Fossils and Pre-primates_FA21 [Total Pts: 1 Score] |2184212,Week 5.1_Fossil Primates pt. 1_FA21 [Total Pts: 1 Score] |2184217,Week 5.1_Fossil Primates pt. 2_FA21 [Total Pts: 1 Score] |2184219,Week 5.2_Living Primates; Primate Social Behavior_FA21 [Total Pts: 1 Score] |2184222,6.1_Primate Cognition and Intelligence_FA21 [Total Pts: 1 Score] |2184225,Week 7.1_Your Inner Monkey_FA21 [Total Pts: 1 Score] |2184286,Week 7.2_Fossil Hominins pt. 1_FA21 [Total Pts: 1 Score] |2184287,Week 7.2_Fossil Hominins pt. 2_FA21 [Total Pts: 1 Score] |2184288,Week 7.2_Fossil Hominins pt. 3_FA21 [Total Pts: 1 Score] |2184290,Week 8.1_Australopithecines pt. 1_FA21 [Total Pts: 1 Score] |2184340,Week 8.1_Australopithecines pt. 2_FA21 [Total Pts: 1 Score] |2184341,Week 8.2_Intro to the genus Homo_FA21 [Total Pts: 1 Score] |2184342,Week 9.1_Homo erectus and variants_FA21 [Total Pts: 1 Score] |2192419,"Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 1_FA21 [Total Pts: 1 Score] |2192420","Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 2_FA21 [Total Pts: 1 Score] |2192421",Week 10.1_Origins and Migration of Modern Humans pt 1_FA21 [Total Pts: 1 Score] |2245069,Week 10.1_Origins and Migration of Modern Humans pt 2_FA21 [Total Pts: 1 Score] |2245071,Lab One: Pigeonetics [Total Pts: 20 Score] |2192204,Lab Two: Forces of Evolution [Total Pts: 20 Score] |2192205,Lab 3: Primate Evolution [Total Pts: 20 Score] |2192206,Lab 4: Primate Behavior and Observation [Total Pts: 20 Score] |2238914,Lab 5: The Human Skeleton [Total Pts: 20 Score] |2241953,Lab 6: Austalopithecines and Early Homo [Total Pts: 20 Score] |2239583,Lab 7: Later Members of the Genus Homo [Total Pts: 20 Score] |2244092,Lab 8: Science Literacy [Total Pts: 20 Score] |2191833,Lab 9: Human Variation [Total Pts: 20 Score] |2270771,Lab 10: Bioarchaeology and Forensics [Total Pts: 20 Score] |2244095,Week 4 Lab Session [Total Pts: 5 Score] |2245107,Week 5 Lab Session [Total Pts: 5 Score] |2245108,Week 7 Lab Session [Total Pts: 5 Score] |2245109,Week 8 Lab Session [Total Pts: 5 Score] |2245110,Week 9 Lab Session [Total Pts: 5 Score] |2245113,Week 10 Lab Session [Total Pts: 5 Score] |2245114,Week 12 Lab Session [Total Pts: 5 Score] |2245115,Week 13 Lab Session [Total Pts: 5 Score] |2245118,Week 15 Lab Session [Total Pts: 5 Score] |2245119,Academic Dishonesty Quiz [Total Pts: 5 Score] |2225736,Syllabus Quiz Fall 2021 [Total Pts: 5 Score] |2225737,Extra Credit Survey 1_FA21 [Total Pts: 0 Complete/Incomplete] |2244200,Extra Credit Survey 2_FA21 [Total Pts: 0 Complete/Incomplete] |2273353,Extra Credit Survey 3_FA21 [Total Pts: 0 Complete/Incomplete] |2281812,Survey Extra Credit points [Total Pts: 0 Score] |2245075,Documentary Analysis [Total Pts: 0 Score] |2246930,Bonus Lab: Ethics [Total Pts: 0 Score] |2246984,Exam 1 Study Guide [Total Pts: 0 Score] |2238690,Exam 1_FA2021 [Total Pts: 100 Score] |2238686,Exam 2 Study Guide [Total Pts: 0 Score] |2249403,Exam 2_FA2021 [Total Pts: 100 Score] |2268007,Exam 3 Study Guide [Total Pts: 0 Score] |2273376,Exam 3_FA21 [Total Pts: 100 Score] |2281987,Week 12.1_Intro to Human Variation_FA21 [Total Pts: 1 Score] |2245155,Week 12.1_Human Variation pt 1_FA21 [Total Pts: 1 Score] |2245159,Week 12.1_Human Variation pt 2_FA21 [Total Pts: 1 Score] |2245161,Week 12.2_How race becomes biology pt 1_FA21 [Total Pts: 1 Score] |2245162,Week 12.2_How race becomes biology pt 2_FA21 [Total Pts: 1 Score] |2245163,Week 12.2_How race becomes biology pt 3_FA21 [Total Pts: 1 Score] |2245164,Week 13.1_Diet & Agriculture 1_FA21 [Total Pts: 1 Score] |2251570,Week 13.2_Diet & Agriculture 2 pt. 1_FA21 [Total Pts: 1 Score] |2251571,Week 13.2_Diet & Agriculture 2_part 2_FA21 [Total Pts: 1 Score] |2251572,Week 14.1_Forensic Anthropology_FA21 [Total Pts: 1 Score] |2251644,Week 15.1_Are we still evolving?_FA21 [Total Pts: 1 Score] |2251662,Lecture Total [Total Pts: up to 33 Score] |2272943,Final Grade Letter [Total Pts: 0 Text] |2281847,Final Grade Percentage [Total Pts: up to 588 Percentage] |2281849,Current grade (Weeks 1-11) [Total Pts: up to 402 Percentage] |2273358,Current grade (Weeks 1-11) letter [Total Pts: up to 402 Letter] |2273462,Midterm grade [Total Pts: up to 219 Letter] |2245147,Midterm Grade Percentage [Total Pts: up to 219 Percentage] |2273460,TA and Lab Time [Total Pts: 0 Text] |2225820,ANTH105- Mid-Semester Check-In-L.Smith [Total Pts: 0 Complete/Incomplete] |2244427,Lab 10: Bioarchaeology and Forensics [Total Pts: 0 Score] |2281201,Total Assignment Percentage [Total Pts: up to 245 Percentage] |2292165,Total Exam Percentage [Total Pts: up to 300 Percentage] |2292166,Total Attendance Percentage [Total Pts: up to 33 Percentage] |2292169,Total Extra Credit [Total Pts: 0 Score] |2292170
559.4666599999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.66666,19.5,19,18.5,17.8,18.5,20,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,Complete,Complete,Complete,6.0,,,5,88.0,5,86.0,5.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,95.14739,95.14095999999999,A,A,96.87975,,,,96.31291999999999,86.66666,100.0,21
561.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.5,20,16.0001,19.5,20,19,19,19,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,Complete,Complete,Complete,6.0,,In Progress,,84.0,,94.0,5.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,31.0,A,95.40818,93.78111,A,A,92.23748,KB F9,,,96.32656999999999,91.33333,93.93939,11
563.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.5,20,19.5,19.75,16,15.5,19.5,20,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Complete,Complete,Complete,6.0,20,0,,72.0,5,86.0,5.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,95.87585,94.21641,B,B,88.47031,,,,95.40816,84.0,100.0,36
392.4999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,17.5,13.9999,19,20,18,,,,,,5.0,5.0,,,5.0,,,,5.0,5.0,Complete,,,,,,,74.0,,76.0,,86.0,1.0,,1.0,,,,,,,,,24.0,D,66.75168000000001,75.74624,C,B,81.05018000000001,KM F11,,,49.99995,78.66666,72.72726999999999,0
525.9164,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.6666,19.75,15.9998,20,19,15.5,18,18,20,15,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,,5.0,5.0,,Complete,,2.0,,,,96.0,5,82.0,,90.0,1.0,,1.0,1.0,1.0,,,,,1.0,,25.0,A,89.44156,91.52149,A,A,96.08054,WF M3,,,88.12914,89.33333,75.75757,7
468.28333,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,17.83333,19,15.5,17.5,14.95,18.5,18.5,20,20,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Complete,Complete,Complete,6.0,,,,68.0,5,74.0,,78.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,21.0,B,79.64001999999999,81.91127,B,B,81.43074,,,,84.40135,73.33333,63.636359999999996,11
381.33313,,1.0,1.0,1.0,1.0,,0.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,12.33333,19,14.9998,20,19.5,18.5,18.5,In Progress,16,,5.0,5.0,5.0,5.0,,5.0,,,,,,,,,,,20,,,5,82.0,,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,24.5,D,64.85257,62.14754,D,F,40.79138,KM W3,,,66.87066,56.0,74.24242,25
542.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,19.25,15,18,20,19.75,14.75,19.5,20,19.5,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,Complete,Complete,Complete,6.0,,,5,96.0,,78.0,,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,92.30442,91.48009,A,A,99.20091,WF M9,,,91.73469,88.0,100.0,11
528.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,20,19.0001,19.5,14.5,18.5,19.5,16,20,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,Complete,,Complete,4.0,,20,,82.0,,76.0,,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,A,89.79593,83.0846,B,B,83.33337,EW M11,,,86.53065,83.33333,100.0,24
351.50313,,,,,,,,,,,,,,,,,,,,,,,19.33333,4,15.9998,20,15.67,9,17.5,,14,11,5.0,5.0,,5.0,5.0,5.0,,,,5.0,4.0,Complete,Complete,,,,,,56.0,,70.0,,64.0,,,1.0,,,,,,,,,1.0,D,59.77944,65.05051999999999,D,D,61.339319999999994,KM W3,,,61.83801,63.333330000000004,3.0303,0
