Weighted Total [Total Pts: up to 0 Percentage] |1669869,Total [Total Pts: up to 526 Score] |1669868,Total [Total Pts: up to 526 Score] |1714579,Total [Total Pts: up to 526 Score] |1714580,Academic Integrity Quiz [Total Pts: 5 Score] |1714581,Syllabus Quiz [Total Pts: 5 Score] |1714582,Pre-Lab 1 [Total Pts: 5 Score] |1714583,Lab 1 [Total Pts: 20 Score] |1714584,Pre-Lab 2 [Total Pts: 5 Score] |1714585,Lab 2 [Total Pts: 20 Score] |1714586,Pre-Lab 3 [Total Pts: 5 Score] |1714587,Lab 3 [Total Pts: 20 Score] |1714588,Pre-Lab 4 [Total Pts: 5 Score] |1714589,Lab 4 [Total Pts: 20 Score] |1714590,Pre-Lab 5 [Total Pts: 5 Score] |1714591,Lab 5 [Total Pts: 20 Score] |1714592,Pre-Lab 6 [Total Pts: 5 Score] |1714593,Lab 6 [Total Pts: 20 Score] |1714594,Lab 7 (Lab and Pre-Lab) [Total Pts: 25 Score] |1768501,Lab 8 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786205,Lab 9 (Lab and Pre-lab) [Total Pts: 25 Score] |1786215,Lab 10 (Lab and Pre-lab) [Total Pts: 25 Score] |1786216,Lab 11 (Lab and Pre-Lab) [Total Pts: 25 Score] |1786220,Exam 1 [Total Pts: 40 Score] |1714603,Exam 2 [Total Pts: 40 Score] |1714604,Final Exam_SP2020 [Total Pts: 50 Score] |1803762,Documentary Review Extra Credit [Total Pts: 0 Score] |1714605,Misc. Extra Credit [Total Pts: 0 Score] |1714606,End of the semester survey [Total Pts: 0 Complete/Incomplete] |1799624,Resources Survey [Total Pts: 0 Complete/Incomplete] |1768127,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1714607,Midterm Grade Percentage Column [Total Pts: up to 156 Percentage] |1714608,Midterm Letter Grade [Total Pts: 0 Text] |1714609,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1714610,Submit Field Museum assignment here [Total Pts: 45 Score] |1789066,Final Percentage [Total Pts: 480 Percentage] |1714612,Final Letter Grade [Total Pts: 100 Text] |1714613,Date Last Attendance [Total Pts: 0 Text] |1714614,Sli.do total [Total Pts: 15 Text] |1714618,Inquizitive extra credit total [Total Pts: 0 Text] |1714619,InQuizitive: Chapter 1. What Is Biological Anthropology? [Total Pts: 0 Score] |1743501,InQuizitive: Chapter 2. Evolution: Constructing a Fundamental Scientific Theory [Total Pts: 0 Score] |1743502,InQuizitive: Chapter 3. Genetics: Reproducing Life and Producing Variation [Total Pts: 0 Score] |1743503,InQuizitive: Chapter 4. Genes and Their Evolution: Population Genetics [Total Pts: 0 Score] |1743504,InQuizitive: Chapter 5. Biology in the Present: Living People [Total Pts: 0 Score] |1743505,InQuizitive: Chapter 6. Biology in the Present: The Other Living Primates [Total Pts: 0 Score] |1743506,"InQuizitive: Chapter 7. Primate Sociality, Social Behavior, and Culture [Total Pts: 0 Score] |1743508",InQuizitive: Chapter 8. Fossils and Their Place in Time and Nature [Total Pts: 0 Score] |1743509,InQuizitive: Chapter 9. Primate Origins and Evolution: The First 50 Million Years [Total Pts: 0 Score] |1743510,InQuizitive: Chapter 10. Early Hominin Origins and Evolution: The Roots of Humanity [Total Pts: 0 Score] |1743511,InQuizitive: Chapter 11. The Origins and Evolution of Early <i>Homo</i> [Total Pts: 0 Score] |1743512,"InQuizitive: Chapter 12. The Origins, Evolution, and Dispersal of Modern People [Total Pts: 0 Score] |1743513","InQuizitive: Chapter 13. The Past 10,000 Years: Agriculture, Population, Biology [Total Pts: 0 Score] |1743514",Sli.do midterm total [Total Pts: 6 Text] |1767091,Discussion Question: Week 1 [Total Pts: 10 Score] |1861094,Total Assignment Percentage [Total Pts: up to 350 Percentage] |2292055,Total Exam Percentage [Total Pts: up to 130 Percentage] |2292056,Total Attendance Percentage [Total Pts: up to 15 Percentage] |2292058,Total Extra Credit [Total Pts: 0 Score] |2292061
,378.5,378.5,378.5,3.5,5,0.0,0.0,3.0,20.0,4.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,19.0,0,0.0,23,25.0,22.0,29.0,37.0,,2.0,Complete,Complete,In Progress,68.91025,D,30.0,43.0,77.60416,C,,15.0,,,,,,,,,,,,,,,6.0,,74.57141999999999,67.6923,100.0,2.0
,451.5,451.5,451.5,4.5,4.5,4.5,20.0,3.0,19.0,4.0,18.0,5.0,18.0,0.0,6.0,5.0,17.0,22.0,25,24.0,24,25.0,28.0,33.0,41.0,5.0,1.0,Complete,,Complete,88.14102,B,23.5,43.5,90.9375,A,,15.0,4.0,0.5,0.5,0.5,0.5,0.0,,0.5,,,0.5,0.5,0.0,0.5,6.0,,87.57141999999999,78.46153000000001,100.0,10.0
,504.5,504.5,504.5,5,5,5.0,20.0,5.0,19.0,5.0,20.0,4.5,20.0,4.0,17.0,4.5,20.0,25.0,25,25.0,23,25.0,37.0,39.0,47.0,,2.0,Complete,Complete,,102.88461,A,30.0,44.5,98.02083,A,,15.0,,0.0,,,,,,,,,,,,,15.0,,97.57141999999999,94.61538,100.0,2.0
,440.0,440.0,440.0,0,0,4.0,20.0,4.0,19.0,5.0,19.5,5.0,18.0,5.0,18.0,4.5,19.0,25.0,24.5,22.5,23,25.0,26.0,35.0,44.0,0.0,1.0,,Complete,Complete,79.80769000000001,C,26.0,44.0,89.0625,A,,,,,,,,,,,,,,,,,4.0,,94.57141999999999,80.76923000000001,0.0,1.0
,381.0,381.0,381.0,,5,5.0,20.0,5.0,20.0,5.0,19.5,0.0,0.0,0.0,0.0,4.5,20.0,23.0,25,24.0,25,25.0,23.0,30.0,36.0,5.0,0.0,,,,67.6282,D,0.0,45.0,78.64583,B,,12.0,0.5,,,,,,,,,,,,,0.5,3.0,,76.0,68.46153000000001,80.0,5.5
,441.5,441.5,441.5,4.5,4.5,4.5,19.0,4.0,20.0,5.0,19.0,5.0,19.0,5.0,18.5,0.0,0.0,23.0,25,22.5,19,25.0,26.0,31.0,48.0,,2.0,Complete,Complete,Complete,87.5,B,29.5,43.5,90.72916,A,,15.0,,,,,,,,,,,,,,,6.0,,87.57141999999999,80.76923000000001,100.0,2.0
,123.0,123.0,123.0,,In Progress,4.5,18.0,5.0,20.0,5.0,19.0,5.0,18.5,,,,,,,,,,25.0,,,,,,,Complete,78.84615,C,,,,,,,,,,,,,,,,,,,,,3.0,,27.14285,19.23076,0.0,0.0
,478.25,478.25,478.25,5,5,3.0,20.0,5.0,18.0,5.0,19.0,5.0,20.0,5.0,19.5,5.0,20.0,25.0,23.25,25.0,23.75,25.0,30.0,35.0,48.0,,2.0,Complete,Complete,Complete,90.38461,A,23.0,44.75,94.01041,A,,15.0,,,,,,,,,,,,,,,6.0,,95.5,86.92307,100.0,2.0
,371.5,371.5,371.5,4.5,5,5.0,18.0,4.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,4.5,18.5,25.0,25,,,,26.0,30.0,35.0,,,,,Complete,86.85897,B,28.0,45.0,79.27083,B,,,,,,,,,,,,,,,,,4.0,,76.28571,70.0,0.0,0.0
,436.0,436.0,436.0,5,5,4.0,19.0,5.0,16.0,4.0,17.5,5.0,17.0,5.0,16.0,5.0,17.0,23.5,24,24.0,24.5,24.5,29.0,33.0,38.0,,1.0,Needs Grading,,Complete,84.93589,B,27.0,42.0,88.54166,B,,,,,,,,,,,,,,,,,6.0,,91.42857,76.92307,0.0,1.0
,493.0,493.0,493.0,4.5,5,4.5,20.0,5.0,20.0,5.0,19.0,5.0,20.0,5.0,20.0,4.5,20.0,25.0,24.5,24.0,25,25.0,30.0,33.0,46.0,5.0,1.0,Complete,Complete,Complete,93.58974,A,27.0,45.0,96.14583,A,,15.0,2.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,6.0,,98.14285,83.84615,100.0,8.5
