Weighted Total [Total Pts: up to 0 Percentage] |1976945,Total [Total Pts: up to 556 Score] |1976944,Syllabus Quiz [Total Pts: 5 Score] |2061052,Academic Dishonesty Quiz [Total Pts: 5 Score] |2061053,Week 3.1_Population Genetics and Adaptations pt. 1 [Total Pts: 1 Score] |2081743,Week 3.1_Population Genetics and Adaptations pt. 2 [Total Pts: 1 Score] |2081748,Week 3.2_Human Population Genetics [Total Pts: 1 Score] |2081750,Week 4.1_Fossils and Pre-primates [Total Pts: 2 Score] |2081756,Week 5.1_Fossil Primates pt. 1 [Total Pts: 1 Score] |2081767,Week 5.1_Fossil Primates pt. 2 [Total Pts: 1 Score] |2081768,Week 5.2_Living Primates; Primate Social Behavior [Total Pts: 1 Score] |2081769,6.1_Primate Cognition and Intelligence [Total Pts: 2 Score] |2081782,Week 7.1_Your Inner Monkey [Total Pts: 1 Score] |2081788,Week 7.2_Fossil Hominins pt. 1 [Total Pts: 1 Score] |2081789,Week 7.2_Fossil Hominins pt. 2 [Total Pts: 1 Score] |2081790,Week 7.2_Fossil Hominins pt. 3 [Total Pts: 1 Score] |2081792,Week 8.1_Australopithecines pt. 1 [Total Pts: 1 Score] |2081793,Week 8.1_Australopithecines pt. 2 [Total Pts: 1 Score] |2081794,Week 8.2_Intro to the genus Homo [Total Pts: 1 Score] |2081795,Week 9.1_Homo erectus and variants [Total Pts: 1 Score] |2081796,"Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 1 [Total Pts: 1 Score] |2081797","Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 2 [Total Pts: 1 Score] |2081798",Week 10.1_Origins and Mirgation of Modern Humans pt 1 [Total Pts: 1 Score] |2081799,Week 10.1_Origins and Migrations of Modern Humans pt. 2 [Total Pts: 1 Score] |2081800,Week 12.1_Museum Assignment & Intro to Human Variation [Total Pts: 2 Score] |2081980,Week 13.1_Human Variation pt 1 [Total Pts: 1 Score] |2081992,Week 13.1_Human Variation pt 2 [Total Pts: 0 Score] |2081993,Week 13.2_How race becomes biology pt 1 [Total Pts: 1 Score] |2081994,Week 13.2_How race becomes biology pt 2 [Total Pts: 1 Score] |2081997,Week 13.2_How race becomes biology pt 3 [Total Pts: 1 Score] |2082000,Week 14.1_Diet & Agriculture 1 [Total Pts: 1 Score] |2082003,Week 14.2_Diet & Agriculture 2 pt. 1 [Total Pts: 1 Score] |2082005,Week 14.2_Diet & Agriculture 2 pt. 2 [Total Pts: 1 Score] |2082006,Week 15.1_Forensic Anthropology [Total Pts: 2 Score] |2082007,Week 16.1_Are we still evolving? [Total Pts: 2 Score] |2082009,Lecture video quiz total [Total Pts: up to 35 Score] |2097316,Submit Final Lab 1 Here [Total Pts: 20 Score] |2084171,Submit Final Lab  2 Here [Total Pts: 20 Score] |2085587,Submit Final Lab 3 Here [Total Pts: 20 Score] |2085588,Submit Lab 4 Here [Total Pts: 20 Score] |2085589,Submit Lab 5 Here [Total Pts: 20 Score] |2085590,Submit Lab 6 Here [Total Pts: 20 Score] |2085591,Submit Lab 7 Here [Total Pts: 20 Score] |2085592,Submit Lab 8 Here [Total Pts: 20 Score] |2085593,Submit Lab 9 Here [Total Pts: 20 Score] |2085594,Submit Lab 10 Here [Total Pts: 20 Score] |2085595,Week 3 Synch Session [Total Pts: 10 Score] |2086564,Week 4 Synch Session [Total Pts: 10 Score] |2086565,Week 5 Synch Session [Total Pts: 10 Score] |2086566,Week 6 Synch Session [Total Pts: 10 Score] |2086567,Week 8 Synch Session [Total Pts: 10 Score] |2086568,Week 9 Synch Session [Total Pts: 10 Score] |2086569,Week 10 Synch Session [Total Pts: 10 Score] |2086570,Week 13 Synch Session [Total Pts: 10 Score] |2086571,Week 14 Synch Session [Total Pts: 10 Score] |2086572,Week 15 Synch Session [Total Pts: 10 Score] |2086573,Week 16 Synch Session [Total Pts: 10 Score] |2086574,SUBMISSION PORTAL: Scavenger Hunt (Individual Project) [Total Pts: 20 Score] |2089729,SUBMISSION PORTAL: Museum Exhibit Project (group work project) [Total Pts: 40 Score] |2089730,Submit top 3 choices HERE [Total Pts: 0 Score] |2089736,Museum Introduction video [Total Pts: 1 Score] |2089756,Week 8: TURN IN Museum Progress Check-In HERE [Total Pts: 0 Score] |2095122,Exam 1 [Total Pts: 25 Score] |2086347,Exam 2 [Total Pts: 25 Score] |2086357,Exam 3_SP2021 [Total Pts: 25 Score] |2106849,Total Extra Credit [Total Pts: 0 Score] |2107595,Extra Credit Survey 1 [Total Pts: 0 Complete/Incomplete] |2087491,Extra Credit Survey 2 [Total Pts: 0 Complete/Incomplete] |2108132,Extra Credit Survey 3 [Total Pts: 0 Complete/Incomplete] |2124954,Optional Post-Lab 9 Survey for Extra Credit [Total Pts: 0 Complete/Incomplete] |2123873,Week 14 Survey_Do BEFORE attending Live Session [Total Pts: 0 Complete/Incomplete] |2117557,SUBMIT Peer Reviews Here [Total Pts: 0 Score] |2118057,Midterm Percentage [Total Pts: up to 197 Percentage] |2104492,Midterm Letter Grade [Total Pts: up to 197 Letter] |2273458,Current grade [Total Pts: up to 516 Letter] |2124888,Exam 4_SP2021 [Total Pts: 25 Score] |2125835,Final Percentage [Total Pts: 480 Percentage] |2130996,Final Grade [Total Pts: 0 Text] |2130541,Lab One: Pigeonetics [Total Pts: 20 Score] |2167326,Lab Two: Forces of Evolution [Total Pts: 20 Score] |2167575,Lab Three: Primate Evolution [Total Pts: 20 Score] |2169717,Total Assignment Percentage [Total Pts: up to 370 Percentage] |2292091,Total Exam Percentage [Total Pts: up to 100 Percentage] |2292092,Total Attendance Percentage [Total Pts: up to 35 Percentage] |2292094,Total Extra Credit [Total Pts: 0 Score] |2292095
,476.0,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,16,18,0,19.5,19.5,18.0,20.0,18.5,20.0,18.5,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,38.0,0,1.0,0,21.0,22.0,23.0,9.0,,,Complete,Complete,Complete,0,81.47208,B,A,22.0,99.16666,A,,,,90.27027,88,100.0,9.0
,494.0,4.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19.75,19.75,19.5,20,20.0,18.75,19.75,19.5,20.0,18.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.25,40.0,Needs Grading,1.0,,21.0,18.0,17.0,10.0,Complete,,Complete,Complete,Complete,Needs Grading,93.1472,A,A,19.0,102.91666,A,,,,98.51351,75,100.0,10.0
,490.5,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,29.0,20,20,19.5,20,19.75,20.0,19.25,19.75,20.0,18.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,20,40.0,Needs Grading,1.0,Needs Grading,23.0,25.0,21.0,6.0,Complete,,,,Complete,Needs Grading,96.95430999999999,A,A,20.0,102.1875,A,,,,96.48648,89,82.85714,6.0
,400.25,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18.25,19.5,0,19.5,18.5,16.5,0.0,18.5,,15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,17,35.0,Needs Grading,1.0,Needs Grading,17.0,15.0,15.0,12.0,Complete,Complete,Complete,Complete,In Progress,Needs Grading,79.06090999999999,C,C,10.0,83.38541,B,,,,77.22972,57,100.0,12.0
,416.5,4.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,17,20,17,17.5,18.0,17.0,17.0,18.5,20.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,18,27.0,Needs Grading,1.0,,18.0,18.0,17.0,5.0,Complete,Complete,Complete,In Progress,,Needs Grading,87.81725,B,B,17.0,86.77083,A,,,,80.27027,70,100.0,5.0
,420.5,5.0,4.5,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,2.0,,12.0,14.75,17.25,19.5,18,18.0,8.5,15.0,17.0,17.0,14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.5,36.0,0,1.0,,18.0,12.0,11.0,22.5,Complete,Complete,Complete,Complete,Complete,0,78.6802,C,B,12.0,87.60416,B,,,,87.16216,53,34.285709999999995,22.5
,418.0,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18.5,20,17,19,18.5,18.5,17.0,18.0,20.0,20,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,,,18,33.0,Needs Grading,1.0,,14.0,22.0,16.0,10.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,89.84770999999999,B,B,13.0,85.0,A,,,,80.4054,65,100.0,10.0
,312.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17,20,0,19,20.0,19.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,8.0,0.0,10.0,17,40.0,Needs Grading,1.0,,19.0,16.0,12.0,3.0,Complete,,Complete,,,Needs Grading,71.06598000000001,C,D,12.0,65.0,D,,,,64.86486,59,0.0,3.0
,346.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,20.0,20,19,19,,17.0,,19.0,17.0,,,,10.0,,10.0,10.0,7.0,10.0,10.0,8.0,,10.0,20,32.0,Needs Grading,,,20.0,18.0,18.0,7.0,,Complete,,,In Progress,Needs Grading,72.33502,C,D,16.0,72.1875,C,,,,64.32432,72,57.14285,7.0
,457.75,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,33.0,0,19.5,18.75,20,19.75,19.5,19.75,19.0,19.0,18.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.5,40.0,Needs Grading,1.0,Needs Grading,14.0,20.0,15.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,80.58375,B,B,11.0,95.36458,A,,,,92.5,60,94.28571,12.0
